run_id,job_name,run_timestamp,status,duration_minutes,rows_processed,error_message
daily_sales_aggregate_20260701_2306,daily_sales_aggregate,2026-07-01 23:06:00,SUCCESS,12.5,74158,
clickstream_dedupe_20260701_0614,clickstream_dedupe,2026-07-01 06:14:00,SUCCESS,3.4,50123,
clickstream_dedupe_20260701_2044,clickstream_dedupe,2026-07-01 20:44:00,FAILED,26.1,376400,Connection timeout to source database after 30s
clickstream_dedupe_20260701_0048,clickstream_dedupe,2026-07-01 00:48:00,FAILED,21.3,146852,Schema mismatch: expected column 'order_id' not found
inventory_sync_20260701_0648,inventory_sync,2026-07-01 06:48:00,WARNING,16.6,82516,Partition skew detected on 'region' column
marketing_attribution_load_20260701_1138,marketing_attribution_load,2026-07-01 11:38:00,SUCCESS,18.3,189208,
finance_reconciliation_20260701_1205,finance_reconciliation,2026-07-01 12:05:00,SUCCESS,25.1,484548,
clickstream_dedupe_20260701_0202,clickstream_dedupe,2026-07-01 02:02:00,SUCCESS,26.8,370398,
user_events_etl_20260701_0324,user_events_etl,2026-07-01 03:24:00,SUCCESS,38.8,455286,
finance_reconciliation_20260701_1122,finance_reconciliation,2026-07-01 11:22:00,FAILED,37.9,86277,Duplicate primary key violation on merge
user_events_etl_20260702_2004,user_events_etl,2026-07-02 20:04:00,WARNING,32.2,359375,Job completed but ran 2.5x longer than usual
warehouse_stock_snapshot_20260702_0529,warehouse_stock_snapshot,2026-07-02 05:29:00,WARNING,25.0,129351,3 records skipped due to null values in required field
product_catalog_refresh_20260702_0114,product_catalog_refresh,2026-07-02 01:14:00,SUCCESS,31.4,442897,
customer_orders_ingest_20260702_1856,customer_orders_ingest,2026-07-02 18:56:00,SUCCESS,13.5,111615,
marketing_attribution_load_20260702_2029,marketing_attribution_load,2026-07-02 20:29:00,SUCCESS,19.0,480486,
inventory_sync_20260702_1716,inventory_sync,2026-07-02 17:16:00,SUCCESS,12.6,295318,
warehouse_stock_snapshot_20260702_0432,warehouse_stock_snapshot,2026-07-02 04:32:00,FAILED,19.2,115987,Authentication failed for service principal
shipment_tracking_sync_20260702_2010,shipment_tracking_sync,2026-07-02 20:10:00,SUCCESS,39.0,81132,
product_catalog_refresh_20260702_1433,product_catalog_refresh,2026-07-02 14:33:00,FAILED,18.5,313417,Connection timeout to source database after 30s
finance_reconciliation_20260702_2156,finance_reconciliation,2026-07-02 21:56:00,FAILED,31.3,61058,Connection timeout to source database after 30s
clickstream_dedupe_20260703_0529,clickstream_dedupe,2026-07-03 05:29:00,SUCCESS,6.8,228942,
customer_orders_ingest_20260703_0532,customer_orders_ingest,2026-07-03 05:32:00,WARNING,43.8,400487,Job completed but ran 2.5x longer than usual
daily_sales_aggregate_20260703_1912,daily_sales_aggregate,2026-07-03 19:12:00,WARNING,38.2,267161,Job completed but ran 2.5x longer than usual
inventory_sync_20260703_1658,inventory_sync,2026-07-03 16:58:00,SUCCESS,25.2,409224,
customer_orders_ingest_20260703_1156,customer_orders_ingest,2026-07-03 11:56:00,FAILED,23.0,59650,Out of memory error during shuffle stage
finance_reconciliation_20260703_0205,finance_reconciliation,2026-07-03 02:05:00,SUCCESS,12.4,298458,
shipment_tracking_sync_20260703_1710,shipment_tracking_sync,2026-07-03 17:10:00,SUCCESS,7.5,250184,
finance_reconciliation_20260703_1748,finance_reconciliation,2026-07-03 17:48:00,FAILED,20.2,112043,Authentication failed for service principal
user_events_etl_20260703_2023,user_events_etl,2026-07-03 20:23:00,WARNING,19.2,353157,Job completed but ran 2.5x longer than usual
shipment_tracking_sync_20260703_0221,shipment_tracking_sync,2026-07-03 02:21:00,FAILED,7.2,118806,Upstream table 'raw_events' was empty at run time
customer_orders_ingest_20260704_0004,customer_orders_ingest,2026-07-04 00:04:00,FAILED,11.9,116457,Authentication failed for service principal
customer_orders_ingest_20260704_1004,customer_orders_ingest,2026-07-04 10:04:00,SUCCESS,40.9,451696,
clickstream_dedupe_20260704_1708,clickstream_dedupe,2026-07-04 17:08:00,SUCCESS,30.8,113321,
warehouse_stock_snapshot_20260704_1312,warehouse_stock_snapshot,2026-07-04 13:12:00,FAILED,12.4,248974,Upstream table 'raw_events' was empty at run time
daily_sales_aggregate_20260704_1455,daily_sales_aggregate,2026-07-04 14:55:00,SUCCESS,17.2,216535,
customer_orders_ingest_20260704_1051,customer_orders_ingest,2026-07-04 10:51:00,WARNING,4.6,382793,Row count 15% lower than 7-day average
daily_sales_aggregate_20260704_0427,daily_sales_aggregate,2026-07-04 04:27:00,SUCCESS,10.2,236202,
inventory_sync_20260704_0228,inventory_sync,2026-07-04 02:28:00,SUCCESS,12.7,485057,
clickstream_dedupe_20260704_0005,clickstream_dedupe,2026-07-04 00:05:00,SUCCESS,30.0,284423,
user_events_etl_20260704_1257,user_events_etl,2026-07-04 12:57:00,SUCCESS,22.9,113065,
customer_orders_ingest_20260705_0859,customer_orders_ingest,2026-07-05 08:59:00,SUCCESS,2.1,205693,
shipment_tracking_sync_20260705_1742,shipment_tracking_sync,2026-07-05 17:42:00,SUCCESS,32.0,383995,
shipment_tracking_sync_20260705_1847,shipment_tracking_sync,2026-07-05 18:47:00,SUCCESS,14.8,31662,
clickstream_dedupe_20260705_1532,clickstream_dedupe,2026-07-05 15:32:00,SUCCESS,4.5,307277,
clickstream_dedupe_20260705_0504,clickstream_dedupe,2026-07-05 05:04:00,SUCCESS,43.3,43001,
warehouse_stock_snapshot_20260705_1815,warehouse_stock_snapshot,2026-07-05 18:15:00,SUCCESS,19.4,494667,
warehouse_stock_snapshot_20260705_2137,warehouse_stock_snapshot,2026-07-05 21:37:00,FAILED,28.6,220794,Connection timeout to source database after 30s
warehouse_stock_snapshot_20260705_2145,warehouse_stock_snapshot,2026-07-05 21:45:00,FAILED,42.2,108090,Out of memory error during shuffle stage
marketing_attribution_load_20260705_2019,marketing_attribution_load,2026-07-05 20:19:00,SUCCESS,19.0,353159,
shipment_tracking_sync_20260705_1806,shipment_tracking_sync,2026-07-05 18:06:00,SUCCESS,2.4,326666,
